customer_city,city_rank
barra do garcas,413
sobral,414
carangola,415
barra bonita,416
matinhos,417
mafra,418
santiago,419
batatais,420
imbituba,421
arapiraca,422
camboriu,423
taquaritinga,424
paracambi,425
mariana,426
armacao dos buzios,427
timbo,428
garca,429
anchieta,430
presidente epitacio,431
tambau,432
irece,433
congonhas,434
formiga,435
rolandia,436
itabirito,437
claudio,438
corumba,439
presidente venceslau,440
janauba,441
promissao,442
viana,443
itapolis,444
ituverava,445
primavera do leste,446
brumadinho,447
mineiros,448
teixeira de freitas,449
caete,450
rio grande da serra,451
cambui,452
gramado,453
mairinque,454
rio bonito,455
gurupi,456
bom jesus dos perdoes,457
simoes filho,458
castro,459
cravinhos,460
sao joao nepomuceno,461
miguel pereira,462
brumado,463
venancio aires,464
fazenda rio grande,465
campos do jordao,466
cantagalo,467
vera cruz,468
aparecida,469
nanuque,470
estancia velha,471
caceres,472
paraty,473
santo anastacio,474
ponta pora,475
frutal,476
piumhii,477
sapiranga,478
mirassol,479
montanha,480
marau,481
pitangui,482
dias d'avila,483
alem paraiba,484
iguaba grande,485
barrinha,486
correia pinto,487
lucas do rio verde,488
cambe,489
trindade,490
arcos,491
canoinhas,492
santana do livramento,493
joacaba,494
salinas,495
piracaia,496
holambra,497
senhor do bonfim,498
parnaiba,499
cafelandia,500
aguas lindas de goias,501
vacaria,502
diamantina,503
indaial,504
santa rita do passa quatro,505
ibiruba,506
cansancao,507
januaria,508
juquitiba,509
sao borja,510
aracati,511
tramandai,512
piraju,513
farroupilha,514
ilha solteira,515
guapore,516
icara,517
altamira,518
cachoeira paulista,519
alto paraiso de goias,520
pinhalzinho,521
candeias,522
sao gotardo,523
monte siao,524
boa esperanca,525
ariquemes,526
mandaguari,527
monte carmelo,528
agua boa,529
braco do norte,530
veranopolis,531
pederneiras,532
porto feliz,533
quatro barras,534
monte azul paulista,535
jacobina,536
sao gabriel,537
sao manuel,538
rancharia,539
americo brasiliense,540
jacutinga,541
aguas de lindoia,542
sacramento,543
rosario do sul,544
astolfo dutra,545
nova granada,546
laranjeiras do sul,547
cerqueira cesar,548
sorriso,549
oliveira,550
curitibanos,551
torres,552
viradouro,553
santos dumont,554
guararapes,555
biguacu,556
itabaiana,557
cornelio procopio,558
casimiro de abreu,559
bom jesus do itabapoana,560
ipero,561
medianeira,562
socorro,563
santa rosa de viterbo,564
piedade,565
carmo do rio claro,566
cordeiro,567
castanhal,568
machado,569
santa maria de jetiba,570
pompeia,571
bonfim paulista,572
visconde do rio branco,573
laguna,574
paragominas,575
ouro fino,576
ibitinga,577
bastos,578
tangara da serra,579
sao fidelis,580
osvaldo cruz,581
palmital,582
pirapora do bom jesus,583
cachoeiras de macacu,584
campo novo do parecis,585
lapa,586
jacarezinho,587
cruz das almas,588
nova venecia,589
novo horizonte,590
carazinho,591
guapimirim,592
espera feliz,593
campos novos,594
sarandi,595
goianesia,596
jarinu,597
maraba,598
guacui,599
sao francisco do sul,600
paty do alferes,601
balsas,602
brotas,603
irati,604
campo belo,605
conchal,606
paraguacu paulista,607
cordeiropolis,608
taquara,609
santo antonio de posse,610
iracemapolis,611
forquilhinha,612
picos,613
cabo de santo agostinho,614
paraiba do sul,615
itaporanga,616
alta floresta,617
venda nova do imigrante,618
ipora,619
itatiaia,620
uruacu,621
tres pontas,622
palmeira das missoes,623
castelo,624
laranjal paulista,625
santo antonio da platina,626
itapetinga,627
vilhena,628
natividade,629
teutonia,630
guanhaes,631
arroio do sal,632
ararangua,633
pires do rio,634
petrolandia,635
junqueiropolis,636
eusebio,637
monte aprazivel,638
serrinha,639
carlos barbosa,640
pirai,641
ji-parana,642
embu,643
charqueadas,644
sao sebastiao do cai,645
morro agudo,646
posse,647
floriano,648
capanema,649
itaocara,650
taio,651
tucurui,652
pereira barreto,653
mata de sao joao,654
barra de sao joao,655
crato,656
igrejinha,657
matias barbosa,658
leopoldina,659
buritis,660
penha,661
andira,662
miracema,663
sao mateus do sul,664
conselheiro pena,665
bariri,666
jaguariaiva,667
capelinha,668
redencao,669
canela,670
triunfo,671
candido mota,672
joao pinheiro,673
camaqua,674
panambi,675
sarzedo,676
ipojuca,677
marialva,678
alto boa vista,679
sao francisco,680
espirito santo do pinhal,681
nova prata,682
salgueiro,683
dois irmaos,684
novo gama,685
inhumas,686
santa vitoria,687
marituba,688
eldorado do sul,689
aguai,690
barao de cocais,691
santana do paraiso,692
bambui,693
piuma,694
sao joao da barra,695
niquelandia,696
sidrolandia,697
pitangueiras,698
macatuba,699
sao francisco de itabapoana,700
juina,701
santana,702
cangucu,703
santo amaro,704
paranaiba,705
taquarituba,706
paraguacu,707
santa ines,708
italva,709
ituporanga,710
santo antonio da patrulha,711
imbe,712
senador canedo,713
barra velha,714
carmo do paranaiba,715
itajobi,716
agudos,717
iguatu,718
alegre,719
sao simao,720
abreu e lima,721
valente,722
jequitinhonha,723
pinheiral,724
caxambu,725
marataizes,726
sao luiz gonzaga,727
pirajui,728
palmeira,729
ibate,730
pirapozinho,731
piraquara,732
patos,733
novo cruzeiro,734
capela,735
mata verde,736
serra negra,737
guara,738
quirinopolis,739
mirandopolis,740
ibirama,741
raposos,742
santo antonio do monte,743
timon,744
vitoria de santo antao,745
bonito,746
acarau,747
bom jardim,748
rio negro,749
quissama,750
bombinhas,751
cunha,752
estrela,753
miguelopolis,754
nova era,755
ipiau,756
maracaju,757
gravata,758
almenara,759
santa adelia,760
paraisopolis,761
andradas,762
chapadao do sul,763
faxinal dos guedes,764
divino,765
floresta,766
limoeiro do norte,767
porangatu,768
feliz,769
lagoa vermelha,770
iturama,771
presidente dutra,772
igarassu,773
itamaraju,774
raul soares,775
costa rica,776
sombrio,777
cajati,778
bom jesus,779
santa cruz do capibaribe,780
caxias,781
manhumirim,782
itanhandu,783
ibipora,784
sao jose do cedro,785
tupaciguara,786
pariquera-acu,787
esmeraldas,788
assis chateaubriand,789
flores da cunha,790
sao miguel arcanjo,791
loanda,792
sao lourenco da serra,793
cesario lange,794
sao lourenco da mata,795
ibaiti,796
santa vitoria do palmar,797
porciuncula,798
tres marias,799
sao jose do vale do rio preto,800
nossa senhora do socorro,801
castilho,802
pilar do sul,803
carmo,804
araripina,805
jose bonifacio,806
lagoa da prata,807
frederico westphalen,808
bocaiuva,809
barroso,810
rio negrinho,811
teodoro sampaio,812
ampere,813
santa teresa,814
brodowski,815
minacu,816
sao joao,817
santa maria da vitoria,818
itapecerica,819
bandeirantes,820
rio brilhante,821
abaetetuba,822
sao goncalo do amarante,823
duartina,824
taguatinga,825
jardinopolis,826
paranapanema,827
porto uniao,828
parati,829
parapua,830
taiobeiras,831
engenheiro coelho,832
itamonte,833
aperibe,834
sao lourenco do sul,835
iguape,836
conceicao do mato dentro,837
jaguare,838
salto de pirapora,839
diamantino,840
piranguinho,841
mendes,842
itamarandiba,843
pomerode,844
santo amaro da imperatriz,845
mostardas,846
pontal,847
goiana,848
bacabal,849
arroio do meio,850
ipameri,851
sao pedro,852
parobe,853
mantena,854
mangaratiba,855
tres de maio,856
sao gabriel da palha,857
itapipoca,858
bezerros,859
aluminio,860
cambara,861
descalvado,862
herval d'oeste,863
nova andradina,864
araquari,865
virginopolis,866
treze tilias,867
guariba,868
ivoti,869
belo jardim,870
sao jose de ribamar,871
pojuca,872
guaramirim,873
conceicao de macabu,874
matupa,875
fraiburgo,876
icem,877
macaubas,878
mirassol d'oeste,879
tapiratiba,880
conchas,881
buritizeiro,882
serrana,883
quixada,884
cacoal,885
passa quatro,886
colorado,887
itapiranga,888
corinto,889
celso ramos,890
vargem grande do sul,891
ouroeste,892
coroata,893
quata,894
coronel vivida,895
tabapua,896
firminopolis,897
paraibuna,898
santo augusto,899
igarape,900
rondon do para,901
carandai,902
santa helena,903
alvinopolis,904
vazante,905
paraiso do tocantins,906
serra talhada,907
barra de sao francisco,908
russas,909
estiva gerbi,910
perdoes,911
alcinopolis,912
perdigao,913
encantado,914
canarana,915
regente feijo,916
ipua,917
taquari,918
casa branca,919
santa gertrudes,920
girua,921
ibatiba,922
planaltina,923
nucleo residencial pilar,924
alto do rodrigues,925
pompeu,926
coxim,927
mirai,928
vila valerio,929
espinosa,930
brasilia de minas,931
estancia,932
bilac,933
lambari,934
rio paranaiba,935
aguas da prata,936
jandaia do sul,937
tres cachoeiras,938
tupi paulista,939
eloi mendes,940
brejo santo,941
goioere,942
cajazeiras,943
mateus leme,944
escada,945
biritiba-mirim,946
guaicara,947
tres passos,948
quedas do iguacu,949
buritama,950
joanopolis,951
balneario picarras,952
urupes,953
auriflama,954
muzambinho,955
goitacazes,956
coribe,957
fartura,958
dois corregos,959
bom jesus da lapa,960
taquaritinga do norte,961
dores do indaia,962
sumidouro,963
rio das pedras,964
matozinhos,965
tanabi,966
itai,967
abaete,968
portao,969
guaratuba,970
pinhao,971
malacacheta,972
aparecida do taboado,973
chavantes,974
charqueada,975
ipira,976
capinopolis,977
capinzal,978
imbituva,979
aracariguama,980
barra da estiva,981
pradopolis,982
aracoiaba da serra,983
lucelia,984
palmares,985
carmo do cajuru,986
varzea da palma,987
tiangua,988
xaxim,989
cassilandia,990
salesopolis,991
codo,992
pau dos ferros,993
palmeira dos indios,994
guaracai,995
sao joaquim,996
pesqueira,997
guarabira,998
maravilha,999
palotina,1000
sao marcos,1001
ibia,1002
capitolio,1003
turmalina,1004
potirendaba,1005
sobradinho,1006
goiatuba,1007
dourado,1008
piedade de caratinga,1009
barra do corda,1010
santa cecilia,1011
planalto,1012
catu,1013
sao lourenco do oeste,1014
papucaia,1015
navirai,1016
baixo guandu,1017
cocal,1018
campina grande do sul,1019
prata,1020
lagarto,1021
ronda alta,1022
papanduva,1023
nova xavantina,1024
caconde,1025
cacu,1026
camamu,1027
nao-me-toque,1028
cerro largo,1029
pedro de toledo,1030
arroio dos ratos,1031
sao raimundo nonato,1032
sao joao batista,1033
colina,1034
domingos martins,1035
xangri-la,1036
martinopolis,1037
nova esperanca,1038
conceicao da aparecida,1039
dom pedrito,1040
nova londrina,1041
campo formoso,1042
crixas,1043
balsamo,1044
afonso claudio,1045
guararema,1046
taguai,1047
maracai,1048
mato verde,1049
piracanjuba,1050
boa esperanca do sul,1051
itaiopolis,1052
bom jardim de minas,1053
chapadao do ceu,1054
teotonio vilela,1055
guaranesia,1056
tapejara,1057
balneario pinhal,1058
nova ponte,1059
pains,1060
porecatu,1061
querencia,1062
julio de castilhos,1063
rolante,1064
paulo frontin,1065
taruma,1066
aimores,1067
carpina,1068
jacare,1069
simonesia,1070
taua,1071
bayeux,1072
santa cruz das palmeiras,1073
campina verde,1074
braganca,1075
japuiba,1076
mangueirinha,1077
porto real,1078
candido rodrigues,1079
mar de espanha,1080
espumoso,1081
ipaussu,1082
campo verde,1083
mamanguape,1084
perdizes,1085
paramirim,1086
mimoso do sul,1087
poco fundo,1088
resplendor,1089
currais novos,1090
jaguarao,1091
siqueira campos,1092
rubiataba,1093
sao benedito,1094
fervedouro,1095
morada nova,1096
piratininga,1097
sao joaquim de bicas,1098
santo antonio do jacinto,1099
ico,1100
xinguara,1101
antonina,1102
astorga,1103
buri,1104
ipaba,1105
urussanga,1106
itaberaba,1107
nazare paulista,1108
baependi,1109
paicandu,1110
piquete,1111
marmeleiro,1112
lindoia,1113
arapoti,1114
bicas,1115
itajuipe,1116
santa helena de goias,1117
bofete,1118
santa rita,1119
camanducaia,1120
sao luis de montes belos,1121
conceicao do coite,1122
mutum,1123
comodoro,1124
sao miguel do iguacu,1125
belo oriente,1126
caico,1127
queimadas,1128
primavera,1129
caetite,1130
